task_id,mode,conf,overlap_density_tier
HardSynthetic.HardCase112,M,0.875,high
HardSynthetic.HardCase108,M,0.875,high
HardSynthetic.HardCase118,M,0.9583333333333334,low
HardSynthetic.HardCase123,M,0.875,medium
HardSynthetic.HardCase117,M,0.875,high
HardSynthetic.HardCase113,M,0.875,high
HardSynthetic.HardCase120,M,0.875,low
HardSynthetic.HardCase122,M,0.9583333333333334,low
HardSynthetic.HardCase124,M,0.875,low
HardSynthetic.HardCase004,A1,0.9583333333333334,low
HardSynthetic.HardCase109,M,0.875,medium
HardSynthetic.HardCase001,A1,0.875,high
HardSynthetic.HardCase125,M,0.8571428571428571,low
HardSynthetic.HardCase007,A1,0.875,medium
HardSynthetic.HardCase008,A1,0.875,medium
HardSynthetic.HardCase009,A1,0.875,high
HardSynthetic.HardCase003,A1,0.875,high
HardSynthetic.HardCase010,A1,0.9583333333333334,low
HardSynthetic.HardCase014,A1,0.875,low
HardSynthetic.HardCase006,A1,0.875,high
HardSynthetic.HardCase017,A1,0.875,low
HardSynthetic.HardCase013,A1,0.9583333333333334,low
HardSynthetic.HardCase002,A1,0.875,medium
HardSynthetic.HardCase015,A1,0.875,high
HardSynthetic.HardCase022,A1,0.875,low
HardSynthetic.HardCase011,A1,0.875,high
HardSynthetic.HardCase012,A1,0.875,high
HardSynthetic.HardCase018,A1,0.875,medium
HardSynthetic.HardCase024,A1,0.875,high
HardSynthetic.HardCase020,A1,0.875,medium
HardSynthetic.HardCase016,A1,0.875,medium
HardSynthetic.HardCase005,A1,0.875,medium
HardSynthetic.HardCase021,A1,0.875,medium
HardSynthetic.HardCase027,A1,0.875,medium
HardSynthetic.HardCase026,A1,0.875,medium
HardSynthetic.HardCase033,A1,0.875,low
HardSynthetic.HardCase034,A1,0.9583333333333334,low
HardSynthetic.HardCase023,A1,0.875,high
HardSynthetic.HardCase028,A1,0.875,low
HardSynthetic.HardCase025,A1,0.9583333333333334,low
HardSynthetic.HardCase019,A1,0.875,high
HardSynthetic.HardCase035,A1,0.875,low
HardSynthetic.HardCase036,A1,0.875,high
HardSynthetic.HardCase029,A1,1.0,low
HardSynthetic.HardCase037,A1,0.9583333333333334,low
HardSynthetic.HardCase042,A1,0.875,high
HardSynthetic.HardCase044,A1,0.875,low
HardSynthetic.HardCase030,A1,0.875,high
HardSynthetic.HardCase041,A1,0.875,medium
HardSynthetic.HardCase045,A1,0.875,low
HardSynthetic.HardCase039,A1,0.0,high
HardSynthetic.HardCase049,A1,1.0,low
HardSynthetic.HardCase043,A1,0.875,medium
HardSynthetic.HardCase038,A1,0.875,high
HardSynthetic.HardCase050,A1,0.875,high
HardSynthetic.HardCase052,A1,0.875,medium
HardSynthetic.HardCase047,A1,0.9583333333333334,low
HardSynthetic.HardCase055,A1,0.875,low
HardSynthetic.HardCase057,A1,0.875,high
HardSynthetic.HardCase056,A1,0.875,low
HardSynthetic.HardCase051,A1,0.875,low
HardSynthetic.HardCase058,A1,0.875,low
HardSynthetic.HardCase059,A1,0.9583333333333334,low
HardSynthetic.HardCase054,A1,0.0,medium
HardSynthetic.HardCase046,A1,0.875,low
HardSynthetic.HardCase065,A1,0.875,high
HardSynthetic.HardCase040,A1,0.875,low
HardSynthetic.HardCase032,A1,0.9583333333333334,low
HardSynthetic.HardCase053,A1,0.875,high
HardSynthetic.HardCase061,A1,0.875,high
HardSynthetic.HardCase062,A1,0.875,low
HardSynthetic.HardCase067,A1,0.875,medium
