mode,attempt,conf,task_id,source
M,3,0.0,HardSynthetic.HardCase111,attempt_history
M,1,0.0,HardSynthetic.HardCase115,attempt_history
M,2,0.0,HardSynthetic.HardCase115,attempt_history
M,3,0.0,HardSynthetic.HardCase115,attempt_history
M,1,0.0,HardSynthetic.HardCase090,attempt_history
M,2,0.0,HardSynthetic.HardCase090,attempt_history
M,3,0.0,HardSynthetic.HardCase090,attempt_history
M,1,0.0,HardSynthetic.HardCase106,attempt_history
M,2,0.0,HardSynthetic.HardCase106,attempt_history
M,3,0.0,HardSynthetic.HardCase106,attempt_history
M,1,0.0,HardSynthetic.HardCase116,attempt_history
M,2,0.0,HardSynthetic.HardCase116,attempt_history
M,3,0.0,HardSynthetic.HardCase116,attempt_history
M,1,0.0,HardSynthetic.HardCase121,attempt_history
M,2,0.0,HardSynthetic.HardCase121,attempt_history
M,3,0.0,HardSynthetic.HardCase121,attempt_history
M,1,0.0,HardSynthetic.HardCase112,attempt_history
M,2,0.0,HardSynthetic.HardCase112,attempt_history
M,3,0.0,HardSynthetic.HardCase112,attempt_history
M,1,0.0,HardSynthetic.HardCase108,attempt_history
M,2,0.0,HardSynthetic.HardCase108,attempt_history
M,3,0.0,HardSynthetic.HardCase108,attempt_history
M,1,0.0,HardSynthetic.HardCase118,attempt_history
M,2,0.0,HardSynthetic.HardCase118,attempt_history
M,3,0.0,HardSynthetic.HardCase118,attempt_history
M,1,0.0,HardSynthetic.HardCase123,attempt_history
M,2,0.0,HardSynthetic.HardCase123,attempt_history
M,3,0.0,HardSynthetic.HardCase123,attempt_history
M,1,0.0,HardSynthetic.HardCase117,attempt_history
M,2,0.0,HardSynthetic.HardCase117,attempt_history
M,3,0.0,HardSynthetic.HardCase117,attempt_history
M,1,0.0,HardSynthetic.HardCase113,attempt_history
M,2,0.0,HardSynthetic.HardCase113,attempt_history
M,3,0.0,HardSynthetic.HardCase113,attempt_history
M,1,0.0,HardSynthetic.HardCase120,attempt_history
M,2,0.0,HardSynthetic.HardCase120,attempt_history
M,3,0.0,HardSynthetic.HardCase120,attempt_history
M,1,0.0,HardSynthetic.HardCase122,attempt_history
M,2,0.0,HardSynthetic.HardCase122,attempt_history
M,3,0.0,HardSynthetic.HardCase122,attempt_history
M,1,0.0,HardSynthetic.HardCase124,attempt_history
M,2,0.0,HardSynthetic.HardCase124,attempt_history
M,3,0.0,HardSynthetic.HardCase124,attempt_history
M,1,0.0,HardSynthetic.HardCase109,attempt_history
M,2,0.0,HardSynthetic.HardCase109,attempt_history
M,3,0.0,HardSynthetic.HardCase109,attempt_history
M,1,0.0,HardSynthetic.HardCase125,attempt_history
M,2,0.0,HardSynthetic.HardCase125,attempt_history
